Statistical profiling result from isolate-0x103000000-v8.log, (186859 ticks, 20 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%          /usr/lib/system/libdyld.dylib

 [JavaScript]:
   ticks  total  nonlib   name
  186642   99.9%   99.9%  LazyCompile: *longComputation /Users/michaeltarleton/Repos/Personal/Nodejs-Forking-Example/index.js:4:25
      6    0.0%    0.0%  LazyCompile: ~_tickCallback internal/process/next_tick.js:151:25
      6    0.0%    0.0%  Builtin: InterpreterEntryTrampoline
      6    0.0%    0.0%  Builtin: CallFunction_ReceiverIsAny
      4    0.0%    0.0%  StoreIC: A store IC from the snapshot
      4    0.0%    0.0%  LazyCompile: ~popAsyncIds internal/async_hooks.js:365:21
      3    0.0%    0.0%  LazyCompile: ~removeListener events.js:355:28
      3    0.0%    0.0%  LazyCompile: ~onParserExecuteCommon _http_server.js:474:31
      3    0.0%    0.0%  LazyCompile: ~nextTick internal/process/next_tick.js:245:20
      3    0.0%    0.0%  LazyCompile: ~insert timers.js:167:16
      2    0.0%    0.0%  Stub: StringAddStub
      2    0.0%    0.0%  Stub: GetPropertyStub
      2    0.0%    0.0%  LazyCompile: ~shift internal/process/next_tick.js:30:8
      2    0.0%    0.0%  LazyCompile: ~server.on /Users/michaeltarleton/Repos/Personal/Nodejs-Forking-Example/index.js:13:22
      2    0.0%    0.0%  LazyCompile: ~pushAsyncIds internal/async_hooks.js:352:22
      2    0.0%    0.0%  LazyCompile: ~parserOnMessageComplete _http_common.js:136:33
      2    0.0%    0.0%  LazyCompile: ~flow _stream_readable.js:843:14
      2    0.0%    0.0%  LazyCompile: ~append internal/linkedlist.js:29:16
      2    0.0%    0.0%  LazyCompile: ~_finish _http_server.js:129:52
      2    0.0%    0.0%  LazyCompile: ~_addHeaderLine _http_incoming.js:286:24
      2    0.0%    0.0%  LazyCompile: ~Readable.push _stream_readable.js:191:35
